tree_size,lambda_index,sample_size,shd,precision,recall,percentage_hidden_nodes_recovered,number_of_edges_esitimation,number_of_edges_true,Normalized SHD
20,8,10,19,0.0,0.0,0.0,2,17,1.0
20,9,100000,17,0.5,0.5882352941176471,175.0,20,17,0.4594594594594595
20,9,10000,8,0.8,0.7058823529411765,100.0,15,17,0.25
20,9,1000,13,0.6111111111111112,0.6470588235294118,125.0,18,17,0.37142857142857144
20,9,100,19,0.4375,0.4117647058823529,150.0,16,17,0.5757575757575758
20,9,10,20,0.3333333333333333,0.17647058823529413,25.0,9,17,0.7692307692307693
20,10,100000,5,0.875,0.8235294117647058,75.0,16,17,0.15151515151515152
20,10,10000,11,0.75,0.5294117647058824,25.0,12,17,0.3793103448275862
20,10,1000,11,0.6875,0.6470588235294118,100.0,16,17,0.3333333333333333
20,10,100,19,0.4444444444444444,0.47058823529411764,100.0,18,17,0.5428571428571428
20,10,10,27,0.14285714285714285,0.11764705882352941,125.0,14,17,0.8709677419354839
20,11,100000,16,0.5263157894736842,0.5882352941176471,175.0,19,17,0.4444444444444444
20,11,10000,7,0.8571428571428571,0.7058823529411765,50.0,14,17,0.22580645161290322
20,11,1000,7,0.8125,0.7647058823529411,50.0,16,17,0.21212121212121213
20,11,100,21,0.4,0.47058823529411764,175.0,20,17,0.5675675675675675
20,11,10,24,0.23076923076923078,0.17647058823529413,100.0,13,17,0.8
20,12,100000,10,0.7333333333333333,0.6470588235294118,75.0,15,17,0.3125
20,12,10000,8,0.8,0.7058823529411765,50.0,15,17,0.25
20,12,1000,12,0.6470588235294118,0.6470588235294118,100.0,17,17,0.35294117647058826
20,12,100,10,0.6842105263157895,0.7647058823529411,125.0,19,17,0.2777777777777778
