alpha,p_value_paramater,node_sizes,shd,precision,recall,percentage_hidden_nodes_recovered,number_of_edges_esitimation,number_of_edges_true,Normalized SHD
0.09,0.05,15,10,0.6,0.6923076923076923,250.0,15,13,0.35714285714285715
0.09,0.05,20,18,0.46153846153846156,0.35294117647058826,75.0,13,17,0.6
0.09,0.05,25,20,0.5333333333333333,0.38095238095238093,25.0,15,21,0.5555555555555556
0.09,0.05,30,23,0.5769230769230769,0.5555555555555556,100.0,26,27,0.4339622641509434
0.09,0.05,35,27,0.5862068965517241,0.53125,116.66666666666667,29,32,0.4426229508196721
0.09,0.05,40,37,0.5,0.5405405405405406,216.66666666666666,40,37,0.4805194805194805
0.09,0.07500000000000001,10,9,0.4,0.25,50.0,5,8,0.6923076923076923
0.09,0.07500000000000001,15,10,0.6,0.6923076923076923,200.0,15,13,0.35714285714285715
0.09,0.07500000000000001,20,17,0.5,0.35294117647058826,75.0,12,17,0.5862068965517241
0.09,0.07500000000000001,25,21,0.5,0.42857142857142855,75.0,18,21,0.5384615384615384
0.09,0.07500000000000001,30,23,0.5714285714285714,0.5925925925925926,133.33333333333331,28,27,0.41818181818181815
0.09,0.07500000000000001,35,29,0.5555555555555556,0.46875,116.66666666666667,27,32,0.4915254237288136
0.09,0.07500000000000001,40,35,0.5277777777777778,0.5135135135135135,216.66666666666666,36,37,0.4794520547945205
0.09,0.1,10,6,0.75,0.375,0.0,4,8,0.5
0.09,0.1,15,8,0.6923076923076923,0.6923076923076923,150.0,13,13,0.3076923076923077
0.09,0.1,20,25,0.25,0.23529411764705882,125.0,16,17,0.7575757575757576
0.09,0.1,25,22,0.47619047619047616,0.47619047619047616,125.0,21,21,0.5238095238095238
0.09,0.1,30,27,0.5,0.5185185185185185,116.66666666666667,28,27,0.4909090909090909
0.09,0.1,35,29,0.56,0.4375,83.33333333333334,25,32,0.5087719298245614
